"c","di","time"
57168,59505,1947
55464,59717.4,1947.25
56332,59039.1,1947.5
55836,61342.6,1947.75
54488,60544.6,1948
53676,60324.6,1948.25
54208,62120.7,1948.5
56704,62249.1,1948.75
54872,61856.1,1949
58588,62070.3,1949.25
59200,64244.8,1949.5
59972,65451.5,1949.75
60400,65269,1950
62100,65625.2,1950.25
63196,66221.2,1950.5
62080,67101.6,1950.75
65220,69809.8,1951
62212,70714.2,1951.25
61156,68644.1,1951.5
61464,69660.4,1951.75
63684,72556.4,1952
66124,74153.8,1952.25
67764,75353.8,1952.5
69796,77089.2,1952.75
70680,77918.8,1953
71328,78343,1953.25
71216,78300.9,1953.5
72456,78995.4,1953.75
72052,77061.9,1954
73592,77282,1954.25
73876,78457.6,1954.5
76456,79486.5,1954.75
76128,81880.4,1955
79412,83789.2,1955.25
81704,84963.1,1955.5
83864,87108.9,1955.75
84768,89626.2,1956
86140,91517.3,1956.25
87448,92076.4,1956.5
87296,93325.1,1956.75
88420,93118.4,1957
89292,93269.7,1957.25
90600,95712.8,1957.5
89840,96211.4,1957.75
90960,96777.7,1958
91160,98713.9,1958.25
93424,99070,1958.5
95572,100335.4,1958.75
96708,100827.3,1959
97336,102557,1959.25
98512,102169.4,1959.5
99216,102915.3,1959.75
99832,104896.4,1960
100816,104643.9,1960.25
102092,106650.4,1960.5
103080,106559.4,1960.75
99956,104125.4,1961
101956,105826.8,1961.25
104220,108432.6,1961.5
104544,110003.6,1961.75
106940,113936.7,1962
107708,114388.5,1962.25
107528,115628.8,1962.5
109860,116902.7,1962.75
110412,117506.3,1963
112264,120332.7,1963.25
113148,120153.8,1963.5
115384,122429.7,1963.75
117572,124412.3,1964
117572,124750.5,1964.25
120292,127026.9,1964.5
121376,128805.1,1964.75
122756,133141.6,1965
125584,133748.9,1965.25
127312,137019.2,1965.5
130048,139720.2,1965.75
131392,142512.2,1966
131600,143373.3,1966.25
134532,144705.2,1966.5
134844,146109.8,1966.75
135840,146772.5,1967
138572,150464.3,1967.25
138528,150185.9,1967.5
140760,151640.8,1967.75
142280,150448.4,1968
142768,155323.3,1968.25
145592,156915,1968.5
147928,158460.6,1968.75
151284,160792.9,1969
150556,159488.2,1969.25
152184,163144.1,1969.5
154276,164654.6,1969.75
152612,165829.2,1970
153492,162454.1,1970.25
156424,167685.1,1970.5
157936,169535.3,1970.75
157592,174154.4,1971
163024,175649.1,1971.25
166428,180979.4,1971.5
170264,183541,1971.75
171548,189300.6,1972
175672,193304.7,1972.25
177472,196418.8,1972.5
181996,204243.6,1972.75
187012,207167.2,1973
188440,213371.2,1973.25
189900,217382.8,1973.5
194236,223392.4,1973.75
199700,228819.2,1974
201256,224779.3,1974.25
202512,232784.7,1974.5
200088,233024.7,1974.75
204548,238731.4,1975
207584,241565.5,1975.25
212328,247014.3,1975.5
217016,250142.3,1975.75
216952,252983.4,1976
223824,259446,1976.25
225200,255486.5,1976.5
230444,263228.4,1976.75
230084,261105.1,1977
228680,264296.8,1977.25
232224,264354.5,1977.5
233772,268321.1,1977.75
235736,275039.6,1978
238704,276962.9,1978.25
240620,276875.3,1978.5
241192,280757.4,1978.75
245224,281301.5,1979
245208,290890.8,1979.25
246416,287004.6,1979.5
247012,294106.3,1979.75
248772,294546,1980
248328,297832.7,1980.25
252864,296630.8,1980.5
255412,298747.5,1980.75
257040,306943.6,1981
258168,312165.4,1981.25
256876,312312.8,1981.5
256432,314286.6,1981.75
250980,319395.5,1982
250728,314758.3,1982.25
250196,311855,1982.5
249360,304723.2,1982.75
253872,302439.8,1983
256972,302710.4,1983.25
261324,317634.2,1983.5
263448,312185.9,1983.75
267200,312089.2,1984
269888,324138.1,1984.25
270764,325388.5,1984.5
275564,331381.2,1984.75
278476,331899.2,1985
281948,333844.3,1985.25
287884,332679.5,1985.5
291384,335886.8,1985.75
292228,338675.6,1986
295672,338714.4,1986.25
300944,336283.7,1986.5
301068,338852.8,1986.75
303672,343951.8,1987
308976,346179.8,1987.25
312704,348980.7,1987.5
316460,351556.4,1987.75
318824,355789.6,1988
323428,360264.2,1988.25
325408,370116.9,1988.5
329544,375081.8,1988.75
332280,382897.6,1989
336640,380608.1,1989.25
334884,380867,1989.5
337332,385132.5,1989.75
342368,388543.1,1990
337888,378841.8,1990.25
337860,384585.1,1990.5
336752,381534.1,1990.75
328636,375007.3,1991
334360,379163.8,1991.25
334280,377642.9,1991.5
336308,376542.2,1991.75
336344,376583.5,1992
336656,384921,1992.25
338628,384765.4,1992.5
338848,382044.7,1992.75
340452,385102.3,1993
342192,387173,1993.25
343356,382785.7,1993.5
345432,379566,1993.75
350636,384796.9,1994
351876,386014.1,1994.25
352972,386136.2,1994.5
356168,388264.5,1994.75
355476,391548.2,1995
357112,390850.3,1995.25
359348,388239.8,1995.5
359372,390576.6,1995.75
363896,391381.5,1996
364428,389502.6,1996.25
366224,388282.1,1996.5
