"","wage","educ","exper","female","married"
"1",3.09999990463257,11,2,1,0
"2",3.24000000953674,12,22,1,1
"3",3,11,2,0,0
"4",6,8,44,0,1
"5",5.30000019073486,12,7,0,1
"6",8.75,16,9,0,1
"7",11.25,18,15,0,0
"8",5,12,5,1,0
"9",3.59999990463257,12,26,1,0
"10",18.1800003051758,17,22,0,1
"11",6.25,16,8,1,0
"12",8.13000011444092,13,3,1,0
"13",8.77000045776367,12,15,0,1
"14",5.5,12,18,0,0
"15",22.2000007629395,12,31,0,1
"16",17.3299999237061,16,14,0,1
"17",7.5,12,10,1,1
"18",10.6300001144409,13,16,1,0
"19",3.59999990463257,12,13,1,1
"20",4.5,12,36,1,1
"21",6.88000011444092,12,11,1,0
"22",8.47999954223633,12,29,0,1
"23",6.32999992370605,16,9,1,0
"24",0.529999971389771,12,3,1,0
"25",6,11,37,1,0
"26",9.5600004196167,16,3,0,1
"27",7.78000020980835,16,11,0,1
"28",12.5,16,31,0,1
"29",12.5,15,30,0,1
"30",3.25,8,9,1,1
"31",13,14,23,0,1
"32",4.5,14,2,1,0
"33",9.68000030517578,13,16,1,0
"34",5,12,7,1,0
"35",4.67999982833862,12,3,1,0
"36",4.26999998092651,16,22,1,1
"37",6.15000009536743,12,15,1,1
"38",3.50999999046326,4,39,0,1
"39",3,14,3,1,1
"40",6.25,12,11,1,0
"41",7.80999994277954,12,3,1,1
"42",10,12,20,1,1
"43",4.5,14,16,1,1
"44",4,11,45,1,1
"45",6.38000011444092,13,11,1,0
"46",13.6999998092651,15,20,0,1
"47",1.66999995708466,10,1,0,0
"48",2.9300000667572,12,36,1,1
"49",3.65000009536743,14,9,0,0
"50",2.90000009536743,12,15,1,1
"51",1.62999999523163,12,18,1,0
"52",8.60000038146973,16,3,1,0
"53",5,12,15,0,1
"54",6,12,7,0,1
"55",2.5,12,2,0,0
"56",3.25,15,3,0,0
"57",3.40000009536743,16,1,1,0
"58",10,8,13,0,0
"59",21.6299991607666,18,8,1,0
"60",4.38000011444092,16,7,0,0
"61",11.710000038147,13,40,1,0
"62",12.3900003433228,14,42,0,0
"63",6.25,10,36,0,0
"64",3.71000003814697,10,13,1,0
"65",7.78000020980835,14,9,0,0
"66",19.9799995422363,14,26,0,1
"67",6.25,16,7,1,1
"68",10,12,25,0,1
"69",5.71000003814697,16,10,0,1
"70",2,12,3,1,0
